"null oic import"
"40307"
"Invoice on Disk"
"08/15/19"
3,"JUN190774D ","ABSOLUTE CARNAGE #1 (OF 5) BLANK VAR AC",7.99,3.5156,10.55,1,7,"MARVEL COMICS"
1,"MAY181739F ","ADVENTURE ZONE GN VOL 01 HERE THERE BE GERBLINS (C: 1-1-0)",19.99,11.5942,11.59,3,7,":01 FIRST SECOND"
1,"APR190115D ","ASSASSIN NATION #4 (MR)",3.99,1.7955,1.80,1,7,"IMAGE COMICS"
1,"APR190531D ","BATMAN DELUXE ED COLL HC BOOK 04",34.99,15.7455,15.75,3,7,"DC COMICS"
1,"DEC181256E ","BOYS OMNIBUS TP VOL 01 (MR)",29.99,15.8947,15.89,3,7,"DYNAMITE"
1,"MAR191177E ","BOYS OMNIBUS TP VOL 02 (MR)",29.99,15.8947,15.89,3,7,"DYNAMITE"
1,"JAN192120E ","BREAKNECK #4 (OF 4) CVR A CONRAD (MR)",3.99,2.1147,2.11,1,7,"TITAN COMICS"
2,"MAR190952D ","CONAN THE BARBARIAN #6",3.99,1.7556,3.51,1,7,"MARVEL COMICS"
1,"MAY190058D ","CRIMINAL #6 (MR)",3.99,1.7955,1.80,1,7,"IMAGE COMICS"
1,"JAN180379D ","DARK NIGHTS METAL DELUXE ED HC",29.99,13.4955,13.50,3,7,"DC COMICS"
1,"NOV170216D ","DC SUPER HERO GIRLS DATE WITH DISASTER TP",9.99,4.4955,4.50,3,7,"DC COMICS"
1,"SEP128332D ","FABLES TP VOL 05 THE MEAN SEASONS (MR)",17.99,8.0955,8.10,3,7,"DC COMICS"
2,"FEB190142D ","FARMHAND #7 (MR)",3.99,1.7955,3.59,1,7,"IMAGE COMICS"
1,"FEB191004D ","GAMBIT KING THIEVES COMPLETE COLLECTION TP",34.99,15.3956,15.40,3,7,"MARVEL COMICS"
1,"SEP180717E ","GO-BOTS #1 CVR B BLANK SKETCH",3.99,1.9950,2.00,1,7,"IDW PUBLISHING"
2,"OCT180680E ","GO-BOTS #2 CVR A SCIOLI",3.99,1.9950,3.99,1,7,"IDW PUBLISHING"
2,"DEC180767E ","GO-BOTS #4 CVR A SCIOLI",3.99,1.9950,3.99,1,7,"IDW PUBLISHING"
2,"APR198119D ","GUARDIANS OF THE GALAXY #5 2ND PTG SHAW VAR",3.99,1.7556,3.51,1,7,"MARVEL COMICS"
1,"SEP162089E ","LEGEND OF ZELDA LEGENDARY ED GN VOL 01 OCARINA TIME (C: 1-0-",17.99,9.5347,9.53,3,7,"VIZ MEDIA LLC"
1,"JAN172160E ","LEGEND OF ZELDA LEGENDARY ED GN VOL 03 MAJORA MASK LINK PAST",17.99,9.5347,9.53,3,7,"VIZ MEDIA LLC"
1,"DEC158755E ","MIGHTY MORPHIN POWER RANGERS #0 (3RD PTG)",3.99,2.1147,2.11,1,7,"BOOM! STUDIOS"
1,"OCT161022D ","MIGHTY THOR TP VOL 01 THUNDER IN HER VEINS",19.99,8.7956,8.80,3,7,"MARVEL COMICS"
1,"SEP181006D ","MIGHTY THOR TP VOL 05 DEATH OF THE MIGHTY THOR",24.99,10.9956,11.00,3,7,"MARVEL COMICS"
1,"APR190054D ","MONSTRESS HC VOL 01 (MR)",49.99,22.4955,22.50,3,7,"IMAGE COMICS"
2,"JAN190815E ","MY LITTLE PONY FRIENDSHIP IS MAGIC #76 CVR B RICHARD (C: 1-0",3.99,1.9950,3.99,1,7,"IDW PUBLISHING"
1,"FEB190673E ","MY LITTLE PONY FRIENDSHIP IS MAGIC #77 CVR A PRICE (C: 1-0-0",3.99,1.9950,2.00,1,7,"IDW PUBLISHING"
1,"FEB190674E ","MY LITTLE PONY FRIENDSHIP IS MAGIC #77 CVR B RICHARD (C: 1-0",3.99,1.9950,2.00,1,7,"IDW PUBLISHING"
1,"MAY190982D ","PUNISHER TP RETURN TO BIG NOTHING",24.99,10.9956,11.00,3,7,"MARVEL COMICS"
