"Free/Promotiona"
"40307A"
"Invoice on Disk"
"08/22/19"
15,"JUN190457D ","BATMAN CURSE OF THE WHITE KNIGHT #2 (OF 8)",4.99,2.2455,33.68,1,1,"DC COMICS"
15,"JUN190458D ","BATMAN CURSE OF THE WHITE KNIGHT #2 (OF 8) VAR ED",4.99,2.2455,33.68,1,1,"DC COMICS"
1,"JUN192260U ","BATMAN DETECTIVE #1000 T/S LG (C: 1-1-2)",19.95,11.9700,11.97,9,1,""
12,"JUN190450D ","BATMAN SUPERMAN #1 BATMAN COVER",3.99,1.7955,21.55,1,1,"DC COMICS"
9,"JUN190453D ","BATMAN SUPERMAN #1 BLANK VAR ED",3.99,1.7955,16.16,1,1,"DC COMICS"
7,"JUN190451D ","BATMAN SUPERMAN #1 SUPERMAN COVER",3.99,1.7955,12.57,1,1,"DC COMICS"
5,"JUN190451D ","BATMAN SUPERMAN #1 SUPERMAN COVER",3.99,1.7955,8.98,1,1,"DC COMICS"
12,"JUN190452D ","BATMAN SUPERMAN #1 VAR ED",3.99,1.7955,21.55,1,1,"DC COMICS"
2,"JUN190568D ","BATMAN WHO LAUGHS HC",29.99,13.4955,26.99,3,1,"DC COMICS"
1,"JUL192202F ","BEAUTY AND DREADED SEA BEAST GN (C: 0-1-0)",5.95,3.2725,3.27,3,1,"STONE ARCH BOOKS"
1,"MAR191607E ","BELLADONNA FIRE FURY #12 WRAP (MR)",5.99,2.9950,3.00,1,1,"BOUNDLESS COMICS"
2,"JUN190967D ","BLACK PANTHER #15",3.99,1.7556,3.51,1,1,"MARVEL COMICS"
3,"JUN190968D ","BLACK PANTHER #15 BENJAMIN BOBG VAR",3.99,1.7556,5.27,1,1,"MARVEL COMICS"
4,"JAN190284D ","BLACK SCIENCE #42 CVR A SCALERA (MR)",3.99,1.7955,7.18,1,1,"IMAGE COMICS"
3,"JAN190285D ","BLACK SCIENCE #42 CVR B ROBINSON (MR)",3.99,1.7955,5.39,1,1,"IMAGE COMICS"
5,"JUN191289E ","BONE PARISH #12 (OF 12)",3.99,1.9950,9.98,1,1,"BOOM! STUDIOS"
5,"JUN190485D ","BOOKS OF MAGIC #11 (MR)",3.99,1.7955,8.98,1,1,"DC COMICS"
